iter	Passed	Remaining
781	229779	64056
782	230345	63837
783	230886	63611
784	231416	63381
785	231952	63152
786	232546	62938
787	232952	62672
788	233213	62367
789	233475	62063
790	233736	61758
791	234007	61456
792	234285	61156
793	234563	60856
794	235131	60631
795	235629	60387
796	236036	60119
797	236323	59821
798	236685	59541
799	237066	59266
800	237409	58981
801	237817	58713
802	238245	58448
803	238636	58174
804	239114	57922
805	239554	57659
806	240011	57400
807	240520	57153
808	241028	56905
809	241652	56683
810	242124	56425
811	242623	56174
812	243156	55928
813	243708	55687
814	244195	55430
815	244710	55179
816	245209	54924
817	245625	54650
818	246072	54382
819	246457	54100
820	246847	53819
821	247192	53528
822	247556	53241
823	247918	52953
824	248301	52669
825	248718	52393
826	249099	52109
827	249492	51826
828	249886	51544
829	250336	51273
830	250882	51021
831	251302	50743
832	251839	50488
833	252257	50209
834	252694	49933
835	253154	49661
836	253587	49384
837	254019	49106
838	254414	48820
839	254864	48545
840	255263	48260
841	255661	47974
842	256155	47706
843	256531	47415
844	256915	47126
845	257290	46835
846	257681	46546
847	258068	46257
848	258446	45966
849	258828	45675
850	259248	45391
851	259631	45100
852	260044	44814
853	260431	44523
854	260773	44224
855	261117	43926
856	261482	43631
857	261855	43337
858	262213	43040
859	262575	42744
860	262938	42448
861	263273	42148
862	263657	41855
863	264019	41558
864	264399	41264
865	264827	40977
866	265270	40693
867	265646	40397
868	266021	40102
869	266366	39801
870	266798	39514
871	267174	39218
872	267555	38922
873	268000	38636
874	268443	38349
875	268851	38056
876	269264	37764
877	269674	37471
878	270144	37187
879	270553	36893
880	270952	36598
881	271351	36303
882	271730	36005
883	272129	35709
884	272541	35415
885	272921	35116
886	273351	34823
887	273715	34522
888	274081	34221
889	274439	33919
890	274854	33624
891	275238	33324
892	275672	33031
893	276062	32732
894	276440	32431
895	276936	32144
896	277405	31853
897	277901	31565
898	278298	31266
899	278747	30971
900	279112	30668
901	279496	30366
902	279878	30064
903	280265	29762
904	280772	29473
905	281163	29171
906	281545	28868
907	281931	28565
908	282337	28264
909	282802	27969
910	283175	27664
911	283589	27363
912	283980	27060
913	284396	26759
914	284785	26455
915	285210	26154
916	285623	25852
917	286050	25551
918	286452	25247
919	286851	24943
920	287277	24641
921	287746	24343
922	288190	24041
923	288618	23739
924	289084	23439
925	289526	23137
926	289935	22832
927	290363	22528
928	290774	22222
929	291248	21921
930	291746	21622
931	292173	21317
932	292574	21010
933	292924	20699
934	293294	20389
935	293685	20081
936	294095	19773
937	294485	19464
938	294858	19154
939	295224	18844
940	295640	18536
941	296076	18229
942	296454	17919
943	296832	17608
944	297225	17298
945	297627	16989
946	298058	16681
947	298422	16369
948	298858	16060
949	299276	15751
950	299730	15443
951	300160	15134
952	300633	14826
953	301069	14516
954	301507	14207
955	301902	13895
956	302307	13583
957	302704	13270
958	303092	12958
959	303488	12645
960	303860	12331
961	304259	12018
962	304673	11706
963	305142	11395
964	305541	11081
965	305914	10767
966	306283	10452
967	306678	10138
968	307076	9823
969	307441	9508
970	307873	9194
971	308245	8879
972	308621	8564
973	308981	8247
974	309359	7932
975	309769	7617
976	310157	7301
977	310555	6985
978	310916	6669
979	311346	6354
980	311808	6039
981	312206	5722
982	312601	5406
983	313019	5089
984	313459	4773
985	313850	4456
986	314308	4139
987	314710	3822
988	315123	3504
989	315544	3187
990	316028	2870
991	316436	2551
992	316897	2233
993	317327	1915
994	317788	1596
995	318380	1278
996	318851	959
997	319373	640
998	319954	320
999	320452	0
