Sample;Euarchontoglires;Galloanserae;Characiphysae;Laurasiatheria;Peracarida;Batrachia;Eucarida;Cypriniphysae;Ceratodontae;Psocodea;Cichlomorphae;Galeoidea;Amphiesmenoptera;Xenarthra;Octopodiformes;Neuropterida;Afrotheria;Parasitiformes;Palaeognathae;Imparidentia;Atherinomorphae;Batoidea
SRR22402255;10498;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402359;290918;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595301;347;0;0;93;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402287;7470;0;0;43;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402325;370465;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595250;13653;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595285;2771;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402258;3724;0;0;3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595348;5380907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402339;30077;0;0;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402340;47059;0;0;28;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402375;2820;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402385;1275533;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402274;27330;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402330;378781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402327;12356;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SRR15595340;10732085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402308;710307;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402360;576148;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595261;17157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595319;994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595313;613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595307;2249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595341;1309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402291;157646;0;0;13;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0
SRR15595333;13711935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595320;10990370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402315;1114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402363;668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402328;108603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402366;21810;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595323;7186964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595275;29355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402351;27942;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595287;4936245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595334;14338432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402362;102471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402357;6917;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402334;326134;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595325;45883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402373;180356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595322;5709856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595328;4957096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402294;867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SRR15595318;12860577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595327;5624447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595299;8475912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
