Sample;Thermotogae;Thermodesulfobacteria;Acidobacteria;Fusobacteria;Synergistetes;Euryarchaeota;Spirochaetes;Coprothermobacterota;Proteobacteria;Dictyoglomi;Deferribacteres;Elusimicrobia;Nitrospirae;Chrysiogenetes;Aquificae;Candidatus Thermoplasmatota;Calditrichaeota;Pisuviricota;Chlamydiae;Streptophyta;Fibrobacteres;Gemmatimonadetes;Phixviricota;Uroviricota;Armatimonadetes;Tenericutes;Deinococcus-Thermus;Kiritimatiellaeota;Chloroflexi;Actinobacteria;Verrucomicrobia;Planctomycetes;Hofneiviricota;Cressdnaviricota;Firmicutes;Artverviricota;Lentisphaerae;Crenarchaeota;Taleaviricota;Nitrospinae;Nucleocytoviricota;Chlorophyta;Caldiserica;Preplasmiviricota;Peploviricota;Fornicata;Cossaviricota;Kitrinoviricota;Evosea;Candidatus Cryosericota;Negarnaviricota;Duplornaviricota;Bacteroidetes;Ignavibacteriae;Cyanobacteria;Balneolaeota;Chlorobi;Candidatus Saccharibacteria;Rhodothermaeota;Oomycota;Candidatus Melainabacteria;Apicomplexa;Ciliophora;Porifera;Ascomycota;Basidiomycota;Cnidaria
SRR22402372;2;0;1;9410;204478;9034;8;0;1082120;0;1;0;0;0;1;0;0;0;1;279;1;214;337;754764;0;8;283;3;14;105921;193335;0;221;0;5826861;0;714;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;28592204;0;16;0;5;7;8;0;3;0;0;0;116;0;0
SRR15595332;0;0;0;0;0;3;2;0;14233;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3061;0;2;0;0;9597;0;0;90;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1748;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;0;0;0;0;0;6;6;0;12935;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2064;0;3;0;0;6727;1;0;117;0;0;0;0;0;0;4;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;42;1;63;19;50;33790;76;0;410640;0;0;0;0;1;1;3;0;2;0;77;11;20;600;338549;0;14;155;3;31;631438;680;1;3941;31;12635173;0;72612;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;18830131;0;38;0;14;39;0;0;0;0;0;0;0;0;0
SRR22402279;25;0;18;77;76;293;235;0;272935;0;0;0;3;4;12;0;0;5;0;8;37;6;152;482463;17;404;75;0;60;271889;52534;31;1527;12;4329245;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6158907;0;163;0;1;81;0;0;10;0;0;0;1;0;0
SRR15595273;39;0;4;78;53;57;14;1;325723;0;0;0;2;0;0;2;0;0;1;444;2;0;79;207;0;7;6;0;1;992400;52772;2;0;2;4829188;0;7;38;0;1;4;0;0;0;1;0;36;0;0;0;0;0;343965;0;10;1;0;113;0;0;0;0;0;0;8973;0;0
SRR22402286;23;0;34;101;240;8;78;0;339188;0;1;0;0;0;0;0;0;5;0;34;12;5;6209;543657;4;100;19;0;83;287488;176860;1;5207;234;9466359;0;549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17631523;0;185;1;0;496;1;0;1;0;0;0;0;0;0
SRR15595331;0;0;0;0;0;0;1;0;15924;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;3114;0;0;0;0;9301;1;0;101;0;0;0;0;0;0;18;0;0;0;0;0;0;0;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;0;0;0;0;0;15;0;0;28266;0;0;0;0;0;0;0;0;0;1;11;0;0;0;3;0;0;0;0;0;8204;0;0;0;0;10698;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2599;0;15;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595330;1;0;1;14;49;142;6;0;148875;0;0;0;1;0;0;0;0;0;0;1850;2;0;13;114;1;3;8;0;6;449973;271;4;0;0;3737290;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1127725;1;7;1;1;89;0;0;0;0;0;0;0;0;0
