Sample;Petrosaviidae;Pterygota;Autobranchia;Neopterygii;Dothideomycetidae;Eumalacostraca;Chondrostei;Dipnomorpha;Acari;Testudinata;Elasmobranchii;Hypocreomycetidae;Xylariomycetidae;Sordariomycetidae;Hirudinea;Neomphalina;Coleoidea;Digenea;Oscillatoriophycideae;Sphaerobacteridae;Heteroscleromorpha
SRR22402339;8;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0
SRR22402340;11;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;14;1;0
SRR22402375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR22402385;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0
SRR22402274;17;0;0;16;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0
SRR22402330;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
SRR22402327;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0
SRR15595340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402308;55;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;2;0
SRR22402360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR15595261;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595319;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595313;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
SRR15595307;2551;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595341;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402291;9;735;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0
SRR15595333;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0
SRR22402363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR22402328;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402366;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0
